data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
simulate10_0_0_10_data.csv,1000,10,LR,0.668,0.6410256410256411,0.6917293233082706,0.7233468286099867,0,10,0.6950192579365378,1.4430458102152133,0.0013010501861572266
simulate10_0_0_10_data.csv,1000,10,Round,0.612,0.1794871794871795,0.9924812030075187,0.7036501510185721,0,5,0.5,1.0,0.0013041496276855469
simulate10_0_0_10_data.csv,1000,10,NLLCD,0.668,0.6495726495726496,0.6842105263157895,0.7284557547715442,0,10,4.5,9.0,0.040094852447509766
simulate10_0_10_1_data.csv,1000,10,FR,0.668,0.7175572519083969,0.6134453781512605,0.710917954968247,0,10,0.5564975410984035,0.9274959018306725,0.3046269416809082
simulate10_0_10_1_data.csv,1000,10,LR,0.668,0.6870229007633588,0.6470588235294118,0.7056257617550836,0,10,0.55291791817984,0.9737394335796896,0.0012998580932617188
simulate10_0_10_1_data.csv,1000,10,Round,0.632,0.5114503816793893,0.7647058823529411,0.7011354159984604,0,6,1.0,1.0,0.0013039112091064453
simulate10_0_10_1_data.csv,1000,10,NLLCD,0.636,0.6183206106870229,0.6554621848739496,0.6861889794085574,0,9,3.0,6.0,0.0511167049407959
simulate50_50_0_9_data.csv,1000,100,FR,0.912,0.9145299145299145,0.9097744360902256,0.9772829509671614,0,87,3.0,10.0,505.21354627609253
simulate50_50_0_9_data.csv,1000,100,LR,0.908,0.8888888888888888,0.924812030075188,0.9744232375811323,0,100,5.901758611059769,22.352257617659593,0.0746760368347168
simulate50_50_0_9_data.csv,1000,100,Round,0.904,0.8461538461538461,0.9548872180451128,0.973298631193368,0,96,6.0,22.0,0.07468700408935547
simulate50_50_0_9_data.csv,1000,100,NLLCD,0.876,0.8632478632478633,0.8872180451127819,0.9701818649187071,0,89,3.0,10.0,0.7360489368438721
simulate50_50_0_8_data.csv,1000,100,FR,0.904,0.8939393939393939,0.9152542372881356,0.9668721109399075,0,88,3.081081081081081,10.27027027027027,495.501168012619
simulate50_50_0_8_data.csv,1000,100,LR,0.904,0.9015151515151515,0.9067796610169492,0.9279340010272212,0,100,296.6777294662818,1774.2748881505383,0.008543968200683594
simulate50_50_0_8_data.csv,1000,100,Round,0.904,0.9015151515151515,0.9067796610169492,0.9279340010272212,0,100,297.0,1774.0,0.008548736572265625
simulate50_50_0_8_data.csv,1000,100,NLLCD,0.892,0.9015151515151515,0.8813559322033898,0.9608371854134565,0,81,2.0,10.0,1.3969619274139404
simulate5_5_5_4_data.csv,1000,10,FR,0.764,0.7956204379562044,0.7256637168141593,0.8405141786706285,0,9,0.7710614593277092,3.084245837310837,0.4616658687591553
simulate5_5_5_4_data.csv,1000,10,LR,0.756,0.7591240875912408,0.7522123893805309,0.8443898972934566,0,10,0.7111636052645649,3.085095618748415,0.001432180404663086
simulate5_5_5_4_data.csv,1000,10,Round,0.676,0.46715328467153283,0.9292035398230089,0.844325301983076,0,5,0.5,3.0,0.0014362335205078125
simulate5_5_5_4_data.csv,1000,10,NLLCD,0.756,0.7518248175182481,0.7610619469026548,0.8301143336993734,0,9,3.5,10.0,0.07374715805053711
simulate5_5_5_5_data.csv,1000,10,FR,0.748,0.7307692307692307,0.7666666666666667,0.8556730769230768,0,9,0.9645022436671907,3.0864071797350103,0.3461141586303711
simulate5_5_5_5_data.csv,1000,10,LR,0.752,0.7538461538461538,0.75,0.855,0,10,1.0254457116810527,3.1639228021811294,0.0015652179718017578
simulate5_5_5_5_data.csv,1000,10,Round,0.736,0.5692307692307692,0.9166666666666666,0.849198717948718,0,8,1.0,3.0,0.0015690326690673828
simulate5_5_5_5_data.csv,1000,10,NLLCD,0.748,0.7076923076923077,0.7916666666666666,0.8443910256410256,0,8,3.5,10.0,0.0849158763885498
simulate0_10_3_9_data.csv,1000,10,FR,0.852,0.8656716417910447,0.8362068965517241,0.9448340195573854,0,10,2.971778359815189,3.820857891190957,0.41466689109802246
simulate0_10_3_9_data.csv,1000,10,LR,0.844,0.8208955223880597,0.8706896551724138,0.9427431806484817,0,10,2.9019258101499457,3.976523755814135,0.0016677379608154297
simulate0_10_3_9_data.csv,1000,10,Round,0.84,0.8731343283582089,0.8017241379310345,0.9416816778178075,0,10,3.0,4.0,0.001672506332397461
simulate0_10_3_9_data.csv,1000,10,NLLCD,0.828,0.8208955223880597,0.8362068965517241,0.9313561502830675,0,9,5.0,9.0,0.050630807876586914
simulate0_10_3_8_data.csv,1000,10,FR,0.872,0.8130081300813008,0.9291338582677166,0.9625824210998015,0,10,3.109145704589981,3.826640867187669,0.46430087089538574
simulate0_10_3_8_data.csv,1000,10,LR,0.868,0.8455284552845529,0.889763779527559,0.9630305358171692,0,10,3.1774628178233484,4.032983124387511,0.0020198822021484375
simulate0_10_3_8_data.csv,1000,10,Round,0.868,0.8617886178861789,0.8740157480314961,0.9608859868126239,0,10,3.0,4.0,0.0020248889923095703
simulate0_10_3_8_data.csv,1000,10,NLLCD,0.856,0.8780487804878049,0.8346456692913385,0.9481467255617437,0,9,5.0,9.0,0.05711698532104492
simulate5_5_10_5_data.csv,1000,10,FR,0.692,0.7364341085271318,0.6446280991735537,0.7908578384265488,0,10,0.7260757918731413,2.904303167492565,0.3388550281524658
simulate5_5_10_5_data.csv,1000,10,LR,0.696,0.7209302325581395,0.6694214876033058,0.7974245627522583,0,10,0.7425400372762414,2.903424714676605,0.0020029544830322266
simulate5_5_10_5_data.csv,1000,10,Round,0.696,0.6821705426356589,0.7107438016528925,0.7797744890768147,0,6,1.0,3.0,0.0020079612731933594
simulate5_5_10_5_data.csv,1000,10,NLLCD,0.708,0.751937984496124,0.6611570247933884,0.7906976744186046,0,10,2.5,10.0,0.05648207664489746
simulate5_5_10_4_data.csv,1000,10,FR,0.652,0.5111111111111111,0.8173913043478261,0.7264734299516908,0,7,0.9499590938799501,8.549631844919551,0.7211587429046631
simulate5_5_10_4_data.csv,1000,10,LR,0.672,0.674074074074074,0.6695652173913044,0.716135265700483,0,10,1.1157385373836235,15.803075414457474,0.0045430660247802734
simulate5_5_10_4_data.csv,1000,10,Round,0.652,0.5111111111111111,0.8173913043478261,0.7257326892109501,0,7,1.0,16.0,0.004547119140625
simulate5_5_10_4_data.csv,1000,10,NLLCD,0.624,0.4444444444444444,0.8347826086956521,0.697133655394525,0,6,1.0,10.0,0.027476072311401367
simulate50_50_0_3_data.csv,1000,100,FR,0.916,0.943089430894309,0.889763779527559,0.9830996735164202,0,89,3.0,10.0,1878.111701965332
simulate50_50_0_3_data.csv,1000,100,LR,0.896,0.9186991869918699,0.8740157480314961,0.9261250880225337,0,100,198.109938733187,5584.590483837493,0.04590582847595215
simulate50_50_0_3_data.csv,1000,100,Round,0.896,0.9186991869918699,0.8740157480314961,0.9261891044107291,0,100,198.5,5585.0,0.04591846466064453
simulate50_50_0_3_data.csv,1000,100,NLLCD,0.872,0.9024390243902439,0.84251968503937,0.9444657832405096,0,62,1.0,10.0,1.580481767654419
simulate50_50_0_2_data.csv,1000,100,FR,0.876,0.8604651162790697,0.8925619834710744,0.9675507719905183,0,85,3.0,10.0,499.7070400714874
simulate50_50_0_2_data.csv,1000,100,LR,0.9,0.875968992248062,0.9256198347107438,0.9500608623230188,0,100,34.93693064081769,167.44064626873606,0.007049083709716797
simulate50_50_0_2_data.csv,1000,100,Round,0.9,0.875968992248062,0.9256198347107438,0.9499647639182524,0,99,34.5,167.0,0.0070612430572509766
simulate50_50_0_2_data.csv,1000,100,NLLCD,0.896,0.875968992248062,0.9173553719008265,0.9650842462681786,0,86,2.0,10.0,1.0285611152648926
simulate10_0_0_2_data.csv,1000,10,FR,0.624,0.6074074074074074,0.6434782608695652,0.6736553945249598,0,9,0.6025148762700361,1.2050297525400722,0.3636200428009033
simulate10_0_0_2_data.csv,1000,10,LR,0.624,0.6,0.6521739130434783,0.6758132045088567,0,10,0.6774552505022107,1.1609538904255892,0.0018680095672607422
simulate10_0_0_2_data.csv,1000,10,Round,0.628,0.9185185185185185,0.28695652173913044,0.6614492753623189,0,8,1.0,1.0,0.0018727779388427734
simulate10_0_0_2_data.csv,1000,10,NLLCD,0.636,0.6074074074074074,0.6695652173913044,0.6768438003220612,0,9,6.5,10.0,0.09572625160217285
simulate10_0_0_3_data.csv,1000,10,FR,0.616,0.5826086956521739,0.6444444444444445,0.6838969404186794,0,9,0.43707847430896163,1.5734825075122618,0.28217506408691406
simulate10_0_0_3_data.csv,1000,10,LR,0.624,0.6,0.6444444444444445,0.6847987117552335,0,10,0.38946061317890557,1.5140451239731436,0.0016131401062011719
simulate10_0_0_3_data.csv,1000,10,Round,0.612,0.8173913043478261,0.43703703703703706,0.672818035426731,0,4,0.0,2.0,0.0016179084777832031
simulate10_0_0_3_data.csv,1000,10,NLLCD,0.62,0.591304347826087,0.6444444444444445,0.6879549114331722,0,6,2.5,10.0,0.042220115661621094
simulate0_10_5_7_data.csv,1000,10,FR,0.824,0.8373983739837398,0.8110236220472441,0.8975417706932974,0,10,1.9937025453600121,3.262422346952747,0.3385329246520996
simulate0_10_5_7_data.csv,1000,10,LR,0.828,0.8536585365853658,0.8031496062992126,0.8976057870814929,0,10,2.034130563262119,3.238030183725072,0.001567840576171875
simulate0_10_5_7_data.csv,1000,10,Round,0.812,0.7560975609756098,0.8661417322834646,0.8913641892324435,0,10,2.0,3.0,0.0015709400177001953
simulate0_10_5_7_data.csv,1000,10,NLLCD,0.828,0.8292682926829268,0.8267716535433071,0.8903719352154152,0,10,2.5,9.0,0.04805588722229004
simulate0_10_5_6_data.csv,1000,10,FR,0.808,0.8181818181818182,0.7966101694915254,0.9041795069337442,0,10,1.8500758857371278,3.027396903933482,0.3578639030456543
simulate0_10_5_6_data.csv,1000,10,LR,0.812,0.8333333333333334,0.788135593220339,0.9066512583461735,0,10,1.809760037898891,2.9915641450035997,0.0019140243530273438
simulate0_10_5_6_data.csv,1000,10,Round,0.78,0.9015151515151515,0.6440677966101694,0.8951913199794556,0,10,2.0,3.0,0.001917123794555664
simulate0_10_5_6_data.csv,1000,10,NLLCD,0.808,0.8181818181818182,0.7966101694915254,0.901643554185927,0,9,6.0,10.0,0.07985711097717285
simulate10_10_5_3_data.csv,1000,20,FR,0.8,0.8429752066115702,0.7596899224806202,0.8883977192645269,0,17,0.8812281794079084,2.6436845382237255,3.098073720932007
simulate10_10_5_3_data.csv,1000,20,LR,0.772,0.859504132231405,0.689922480620155,0.8872445384073292,0,20,0.8507214671274251,2.7187905705687454,0.0027551651000976562
simulate10_10_5_3_data.csv,1000,20,Round,0.736,0.8760330578512396,0.6046511627906976,0.8641168556601961,0,14,1.0,3.0,0.002760171890258789
