data, n, p, method, acc, sens, spec, auc, lambda0, non-zeros, med_abs, max_abs, time 
simulate10_10_3_7_data.csv,1000,20,CPA,0.864,0.947368421,0.769230769,0.937696806,0,13,1.5,3,30.30423188
simulate10_10_3_6_data.csv,1000,20,CPA,0.856,0.885964912,0.830882353,0.940466976,0,13,1,5,3.487746954
simulate10_10_0_3_data.csv,1000,20,CPA,0.836,0.856060606,0.813559322,0.922733693,0,19,1.5,100,30.31782508
simulate10_10_0_2_data.csv,1000,20,CPA,0.88,0.914529915,0.84962406,0.954244586,0,14,1.5,6,30.51345611
simulate0_10_0_7_data.csv,1000,10,CPA,0.896,0.930769231,0.858333333,0.968429487,0,10,4,5,0.457533836
simulate0_10_0_6_data.csv,1000,10,CPA,0.864,0.8671875,0.860655738,0.944031762,0,10,2.5,4,1.237523794
simulate10_0_5_2_data.csv,1000,10,CPA,0.564,0.900826446,0.248062016,0.659555385,0,3,0,1,0.608040333
simulate10_0_5_3_data.csv,1000,10,CPA,0.528,0.776859504,0.294573643,0.58072266,0,3,0,1,2.084250689
simulate0_10_10_10_data.csv,1000,10,CPA,0.748,0.790322581,0.706349206,0.794418843,0,10,1,2,0.68001318
simulate50_50_5_3_data.csv,1000,100,CPA,0.776,0.819672131,0.734375,0.858894723,0,58,1,4,151.556257
simulate50_50_5_2_data.csv,1000,100,CPA,0.724,0.775862069,0.679104478,0.79892563,0,58,1,100,151.56637
simulate10_0_3_6_data.csv,1000,10,CPA,0.64,0.80952381,0.467741935,0.669738863,0,5,0.5,1,0.436009169
simulate10_0_3_7_data.csv,1000,10,CPA,0.572,0.901515152,0.203389831,0.638546482,0,3,0,1,0.692037821
simulate0_10_3_10_data.csv,1000,10,CPA,0.904,0.933884298,0.875968992,0.956563521,0,10,3,4,1.259067059
simulate10_10_10_9_data.csv,1000,20,CPA,0.692,0.772357724,0.614173228,0.751232315,0,11,1,2,30.26710987
simulate10_10_10_8_data.csv,1000,20,CPA,0.684,0.842975207,0.534883721,0.775450061,0,13,1,2,30.30557323
simulate50_50_3_7_data.csv,1000,100,CPA,0.852,0.859259259,0.843478261,0.921996779,0,53,1,3,151.639607
simulate50_50_3_6_data.csv,1000,100,CPA,0.852,0.94214876,0.76744186,0.936671151,0,53,1,2,151.438252
simulate50_50_5_9_data.csv,1000,100,CPA,0.804,0.858333333,0.753846154,0.89599359,0,63,1,26,151.6208198
simulate50_50_5_8_data.csv,1000,100,CPA,0.772,0.795620438,0.743362832,0.865900136,0,56,1,3,151.447403
simulate10_0_5_8_data.csv,1000,10,CPA,0.612,0.875968992,0.330578512,0.680857198,0,4,0,1,0.741292
simulate10_0_5_9_data.csv,1000,10,CPA,0.668,0.794117647,0.51754386,0.676954334,0,6,1,1,2.03455615
simulate50_50_10_4_data.csv,1000,100,CPA,0.632,0.656716418,0.603448276,0.703293875,0,54,1,2,151.4696128
simulate50_50_10_5_data.csv,1000,100,CPA,0.668,0.735714286,0.581818182,0.755616883,0,43,0,4,151.4534912
simulate10_10_0_9_data.csv,1000,20,CPA,0.836,0.906976744,0.760330579,0.928983279,0,13,1,100,30.36655807
simulate0_10_10_6_data.csv,1000,10,CPA,0.7,0.726495726,0.676691729,0.77482167,0,10,1,2,0.715408802
simulate10_0_5_10_data.csv,1000,10,CPA,0.66,0.875,0.403508772,0.722910217,0,6,1,1,0.836161137
simulate10_10_0_8_data.csv,1000,20,CPA,0.884,0.931623932,0.842105263,0.957200694,0,15,1.5,100,30.4075799
simulate0_10_10_7_data.csv,1000,10,CPA,0.724,0.79389313,0.647058824,0.801109757,0,9,1,2,0.934681892
simulate10_10_10_3_data.csv,1000,20,CPA,0.708,0.814516129,0.603174603,0.770737327,0,11,1,2,30.27565312
simulate10_10_10_2_data.csv,1000,20,CPA,0.728,0.866666667,0.6,0.802564103,0,11,1,2,30.26804113
simulate5_5_0_4_data.csv,1000,10,CPA,0.784,0.796747967,0.771653543,0.866653863,0,7,1,4,1.011759043
simulate5_5_0_5_data.csv,1000,10,CPA,0.808,0.886178862,0.732283465,0.91191345,0,8,2,4,3.134909868
simulate50_50_10_9_data.csv,1000,100,CPA,0.728,0.740740741,0.713043478,0.779677939,0,50,0.5,100,151.371871
